method,shifted_geometric_mean
OA,7.6 (0.00%)
OA-FBBT,7.5 (-0.46%)
C-OA-Coramin(r),5.4 (-28.12%)
C-OA-FBBT-Coramin(r),5.4 (-28.74%)
C-OA-Baron(r),2.0 (-73.71%)
C-OA-Baron(c),1.9 (-74.73%)
GOA,12.0 (0.00%)
GOA-FBBT,8.7 (-27.90%)
C-GOA-Coramin(r),7.7 (-35.77%)
C-GOA-FBBT-Coramin(r),6.2 (-48.44%)
C-GOA-Baron(r),6.1 (-49.45%)
C-GOA-Baron(c),6.4 (-46.38%)
LP/NLP-B&B,9.8 (0.00%)
LP/NLP-B&B-FBBT,10.0 (1.49%)
C-LP/NLP-B&B-Coramin(r),7.5 (-23.84%)
C-LP/NLP-B&B-FBBT-Coramin(r),7.6 (-22.73%)
C-LP/NLP-B&B-Baron(r),3.6 (-62.82%)
C-LP/NLP-B&B-Baron(c),3.5 (-64.64%)
GLP/NLP-B&B,17.2 (0.00%)
GLP/NLP-B&B-FBBT,16.6 (-3.52%)
C-GLP/NLP-B&B-Coramin(r),9.6 (-44.44%)
C-GLP/NLP-B&B-FBBT-Coramin(r),7.5 (-56.44%)
C-GLP/NLP-B&B-Baron(r),6.9 (-59.58%)
C-GLP/NLP-B&B-Baron(c),6.2 (-63.72%)
