method,shifted_geometric_mean
OA,29.0 (0.00%)
OA-FBBT,28.8 (-0.97%)
C-OA-Coramin(r),21.3 (-26.53%)
C-OA-FBBT-Coramin(r),21.8 (-24.94%)
C-OA-Baron(r),13.4 (-53.74%)
C-OA-Baron(c),13.2 (-54.52%)
GOA,59.0 (0.00%)
GOA-FBBT,53.6 (-9.20%)
C-GOA-Coramin(r),41.6 (-29.47%)
C-GOA-FBBT-Coramin(r),41.0 (-30.44%)
C-GOA-Baron(r),40.4 (-31.48%)
C-GOA-Baron(c),39.9 (-32.33%)
LP/NLP-B&B,121.9 (0.00%)
LP/NLP-B&B-FBBT,120.1 (-1.47%)
C-LP/NLP-B&B-Coramin(r),78.5 (-35.66%)
C-LP/NLP-B&B-FBBT-Coramin(r),75.0 (-38.52%)
C-LP/NLP-B&B-Baron(r),49.7 (-59.25%)
C-LP/NLP-B&B-Baron(c),50.0 (-58.98%)
GLP/NLP-B&B,227.5 (0.00%)
GLP/NLP-B&B-FBBT,236.8 (4.10%)
C-GLP/NLP-B&B-Coramin(r),163.1 (-28.29%)
C-GLP/NLP-B&B-FBBT-Coramin(r),164.0 (-27.89%)
C-GLP/NLP-B&B-Baron(r),151.5 (-33.42%)
C-GLP/NLP-B&B-Baron(c),128.7 (-43.43%)
